C,Real-Time Energy Market Historical Offer Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,Filename: hbrealtimeenergyoffer_20250625.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,Report for: 06/25/2025 - 06/25/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,Report generated: 10/01/2025 06:17:40 EDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,Day,Trading Interval,Masked Lead Participant ID,Masked Asset ID,Must Take Energy,Maximum Daily Energy Available,Economic Maximum,Economic Minimum,Cold Startup Price,Intermediate Startup Price,Hot Startup Price,No Load Price,Segment 1 Price,Segment 1 MW,Segment 2 Price,Segment 2 MW,Segment 3 Price,Segment 3 MW,Segment 4 Price,Segment 4 MW,Segment 5 Price,Segment 5 MW,Segment 6 Price,Segment 6 MW,Segment 7 Price,Segment 7 MW,Segment 8 Price,Segment 8 MW,Segment 9 Price,Segment 9 MW,Segment 10 Price,Segment 10 MW,Claim 10,Claim 30,Unit Status,Max Daily Award Limit
H,Date,String,Number,Number,Number,Number,Number,Number,$,$,$,$,$,MW,$,MW,$,MW,$,MW,$,MW,$,MW,$,MW,$,MW,$,MW,$,MW,MW,MW,String,MW
D,06/25/2025,9,101197,11031,0,0,44,38,1226.23,1226.23,1226.23,594.33,67.04,38,71.74,5,,,,,,,,,,,,,,,,,42.4,44.2,ECONOMIC,
D,06/25/2025,10,101197,11031,0,0,44,38,1226.23,1226.23,1226.23,594.33,67.04,38,71.74,5,,,,,,,,,,,,,,,,,42.4,44.2,ECONOMIC,
D,06/25/2025,11,101197,11031,0,0,44,38,817.49,817.49,817.49,594.33,58.62,38,62.65,5,,,,,,,,,,,,,,,,,42.4,44.2,ECONOMIC,
D,06/25/2025,12,101197,11031,0,0,44,38,817.49,817.49,817.49,594.33,58.62,38,62.65,5,,,,,,,,,,,,,,,,,42.4,44.2,ECONOMIC,
D,06/25/2025,13,101197,11031,0,0,44,38,1226.23,1226.23,1226.23,594.33,58.62,38,62.65,5,,,,,,,,,,,,,,,,,42.4,44.2,ECONOMIC,
D,06/25/2025,14,101197,11031,0,0,44,38,1226.23,1226.23,1226.23,594.33,58.62,38,62.65,5,,,,,,,,,,,,,,,,,42.4,44.2,ECONOMIC,
D,06/25/2025,15,101197,11031,0,0,43,38,1226.23,1226.23,1226.23,594.33,58.62,38,62.65,5,,,,,,,,,,,,,,,,,42.4,44.2,ECONOMIC,
D,06/25/2025,16,101197,11031,0,0,43,38,1226.23,1226.23,1226.23,594.33,58.62,38,62.65,5,,,,,,,,,,,,,,,,,42.4,44.2,ECONOMIC,
D,06/25/2025,17,101197,11031,0,0,43,38,1226.23,1226.23,1226.23,594.33,58.62,38,62.65,5,,,,,,,,,,,,,,,,,42.4,44.2,ECONOMIC,
D,06/25/2025,18,101197,11031,0,0,44,38,1226.23,1226.23,1226.23,594.33,58.62,38,62.65,5,,,,,,,,,,,,,,,,,42.4,44.2,ECONOMIC,
D,06/25/2025,19,101197,11031,0,0,44,38,1226.23,1226.23,1226.23,594.33,58.62,38,62.65,5,,,,,,,,,,,,,,,,,42.4,44.2,ECONOMIC,
D,06/25/2025,20,101197,11031,0,0,44,38,1226.23,1226.23,1226.23,594.33,58.62,38,62.65,5,,,,,,,,,,,,,,,,,42.4,44.2,ECONOMIC,
D,06/25/2025,21,101197,11031,0,0,44,38,1226.23,1226.23,1226.23,594.33,58.62,38,62.65,5,,,,,,,,,,,,,,,,,42.4,44.2,ECONOMIC,
D,06/25/2025,22,101197,11031,0,0,45,38,1226.23,1226.23,1226.23,594.33,58.62,38,62.65,5,,,,,,,,,,,,,,,,,42.4,44.2,ECONOMIC,
D,06/25/2025,23,101197,11031,0,0,45,38,817.49,817.49,817.49,594.33,58.62,38,62.65,5,,,,,,,,,,,,,,,,,42.4,44.2,ECONOMIC,
D,06/25/2025,24,101197,11031,0,0,45,38,1226.23,1226.23,1226.23,594.33,58.62,43,,,,,,,,,,,,,,,,,,,0,0,ECONOMIC,
D,06/25/2025,1,101197,18898,0,0,46,38,1944.97,1944.97,1944.97,594.33,100.75,43,,,,,,,,,,,,,,,,,,,0,0,ECONOMIC,
D,06/25/2025,2,101197,18898,0,0,46,38,1944.97,1944.97,1944.97,594.33,100.75,43,,,,,,,,,,,,,,,,,,,0,0,ECONOMIC,
D,06/25/2025,3,101197,18898,0,0,46,38,1944.97,1944.97,1944.97,594.33,100.75,43,,,,,,,,,,,,,,,,,,,0,0,ECONOMIC,
D,06/25/2025,4,101197,18898,0,0,46,38,1944.97,1944.97,1944.97,594.33,100.75,43,,,,,,,,,,,,,,,,,,,0,0,ECONOMIC,
D,06/25/2025,5,101197,18898,0,0,46,38,1944.97,1944.97,1944.97,594.33,100.75,43,,,,,,,,,,,,,,,,,,,0,0,ECONOMIC,
D,06/25/2025,6,101197,18898,0,0,46,38,1944.97,1944.97,1944.97,594.33,100.75,43,,,,,,,,,,,,,,,,,,,44.7,45.9,ECONOMIC,
D,06/25/2025,7,101197,18898,0,0,46,38,1944.97,1944.97,1944.97,594.33,100.75,43,,,,,,,,,,,,,,,,,,,44.7,45.9,ECONOMIC,
D,06/25/2025,8,101197,18898,0,0,46,38,1944.97,1944.97,1944.97,594.33,100.75,38,108.12,5,,,,,,,,,,,,,,,,,44.7,45.9,ECONOMIC,
D,06/25/2025,9,101197,18898,0,0,45,38,1944.97,1944.97,1944.97,594.33,100.75,38,108.12,5,,,,,,,,,,,,,,,,,44.7,45.9,ECONOMIC,
D,06/25/2025,10,101197,18898,0,0,45,38,1944.97,1944.97,1944.97,594.33,100.75,38,108.12,5,,,,,,,,,,,,,,,,,44.7,45.9,ECONOMIC,
D,06/25/2025,11,101197,18898,0,0,44,38,1755.52,1755.52,1755.52,594.33,83.89,38,89.93,5,,,,,,,,,,,,,,,,,44.7,45.9,ECONOMIC,
D,06/25/2025,12,101197,18898,0,0,44,38,1755.52,1755.52,1755.52,594.33,83.89,38,89.93,5,,,,,,,,,,,,,,,,,44.7,45.9,ECONOMIC,
D,06/25/2025,13,101197,18898,0,0,44,38,1755.52,1755.52,1755.52,594.33,83.89,38,89.93,5,,,,,,,,,,,,,,,,,44.7,45.9,ECONOMIC,
D,06/25/2025,14,101197,18898,0,0,44,38,1755.52,1755.52,1755.52,594.33,83.89,38,89.93,5,,,,,,,,,,,,,,,,,44.7,45.9,ECONOMIC,
D,06/25/2025,15,101197,18898,0,0,43,38,1755.52,1755.52,1755.52,594.33,83.89,38,89.93,5,,,,,,,,,,,,,,,,,44.7,45.9,ECONOMIC,
D,06/25/2025,16,101197,18898,0,0,43,38,1755.52,1755.52,1755.52,594.33,83.89,38,89.93,5,,,,,,,,,,,,,,,,,44.7,45.9,ECONOMIC,
D,06/25/2025,17,101197,18898,0,0,43,38,1755.52,1755.52,1755.52,594.33,83.89,38,89.93,5,,,,,,,,,,,,,,,,,44.7,45.9,ECONOMIC,
D,06/25/2025,18,101197,18898,0,0,44,38,1755.52,1755.52,1755.52,594.33,83.89,38,89.93,5,,,,,,,,,,,,,,,,,44.7,45.9,ECONOMIC,
D,06/25/2025,19,101197,18898,0,0,44,38,1755.52,1755.52,1755.52,594.33,83.89,38,89.93,5,,,,,,,,,,,,,,,,,44.7,45.9,ECONOMIC,
D,06/25/2025,20,101197,18898,0,0,46,38,1755.52,1755.52,1755.52,594.33,83.89,38,89.93,5,,,,,,,,,,,,,,,,,44.7,45.9,ECONOMIC,
D,06/25/2025,21,101197,18898,0,0,46,38,1755.52,1755.52,1755.52,594.33,83.89,38,89.93,5,,,,,,,,,,,,,,,,,44.7,45.9,ECONOMIC,
D,06/25/2025,22,101197,18898,0,0,46,38,1755.52,1755.52,1755.52,594.33,83.89,38,89.93,5,,,,,,,,,,,,,,,,,44.7,45.9,ECONOMIC,
D,06/25/2025,23,101197,18898,0,0,46,38,1755.52,1755.52,1755.52,594.33,83.89,38,89.93,5,,,,,,,,,,,,,,,,,44.7,45.9,ECONOMIC,
D,06/25/2025,24,101197,18898,0,0,46,38,1755.52,1755.52,1755.52,594.33,83.89,43,,,,,,,,,,,,,,,,,,,0,0,ECONOMIC,
D,06/25/2025,1,101197,19426,0,0,42,38,1226.23,1226.23,1226.23,594.33,67.04,41,,,,,,,,,,,,,,,,,,,0,0,ECONOMIC,
D,06/25/2025,2,101197,19426,0,0,42,38,1226.23,1226.23,1226.23,594.33,67.04,41,,,,,,,,,,,,,,,,,,,0,0,ECONOMIC,
D,06/25/2025,3,101197,19426,0,0,42,38,1226.23,1226.23,1226.23,594.33,67.04,41,,,,,,,,,,,,,,,,,,,0,0,ECONOMIC,
D,06/25/2025,4,101197,19426,0,0,42,38,1226.23,1226.23,1226.23,594.33,67.04,41,,,,,,,,,,,,,,,,,,,0,0,ECONOMIC,
D,06/25/2025,5,101197,19426,0,0,42,38,1226.23,1226.23,1226.23,594.33,67.04,41,,,,,,,,,,,,,,,,,,,0,0,ECONOMIC,
